2026-04-11 20:21:40.686860: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:467] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1775938900.708604    9150 cuda_dnn.cc:8579] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1775938900.717085    9150 cuda_blas.cc:1407] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
W0000 00:00:1775938900.734410    9150 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775938900.734443    9150 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775938900.734513    9150 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775938900.734544    9150 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
Starting 3m MAPPO Baseline...
Step   360448 | Return:       1.45 | Win Rate:  0.53 | Loss:     0.0297 | Ent:   0.2980 | GradN(actor/critic):   0.1594/  0.1688 | pair_cos(all/ff/nff):  0.5875/ 0.6236/ 0.5686 | ff_frac: 0.3438
Step   376832 | Return:       1.43 | Win Rate:  0.51 | Loss:     0.0340 | Ent:   0.3161 | GradN(actor/critic):   0.1118/  0.6132 | pair_cos(all/ff/nff):  0.5859/ 0.6217/ 0.5674 | ff_frac: 0.3395
Step   393216 | Return:       1.43 | Win Rate:  0.51 | Loss:     0.0312 | Ent:   0.2908 | GradN(actor/critic):   0.0840/  0.3526 | pair_cos(all/ff/nff):  0.5798/ 0.6146/ 0.5616 | ff_frac: 0.3438
Step   409600 | Return:       1.48 | Win Rate:  0.56 | Loss:     0.0306 | Ent:   0.2785 | GradN(actor/critic):   0.1209/  0.4015 | pair_cos(all/ff/nff):  0.5821/ 0.6132/ 0.5650 | ff_frac: 0.3559
Step   425984 | Return:       1.49 | Win Rate:  0.56 | Loss:     0.0314 | Ent:   0.2609 | GradN(actor/critic):   0.1143/  0.3853 | pair_cos(all/ff/nff):  0.5842/ 0.6153/ 0.5671 | ff_frac: 0.3543
Step   442368 | Return:       1.50 | Win Rate:  0.57 | Loss:     0.0281 | Ent:   0.2587 | GradN(actor/critic):   0.0940/  0.1178 | pair_cos(all/ff/nff):  0.5797/ 0.6047/ 0.5649 | ff_frac: 0.3718
Step   458752 | Return:       1.52 | Win Rate:  0.59 | Loss:     0.0287 | Ent:   0.2428 | GradN(actor/critic):   0.0834/  0.2841 | pair_cos(all/ff/nff):  0.5779/ 0.6042/ 0.5621 | ff_frac: 0.3743
Step   475136 | Return:       1.55 | Win Rate:  0.61 | Loss:     0.0272 | Ent:   0.2271 | GradN(actor/critic):   0.0638/  0.1601 | pair_cos(all/ff/nff):  0.5723/ 0.5962/ 0.5577 | ff_frac: 0.3787
Step   491520 | Return:       1.52 | Win Rate:  0.59 | Loss:     0.0289 | Ent:   0.2296 | GradN(actor/critic):   0.1145/  0.2854 | pair_cos(all/ff/nff):  0.5699/ 0.5917/ 0.5568 | ff_frac: 0.3747
Step   507904 | Return:       1.51 | Win Rate:  0.58 | Loss:     0.0305 | Ent:   0.2302 | GradN(actor/critic):   0.0836/  0.3538 | pair_cos(all/ff/nff):  0.5670/ 0.5876/ 0.5542 | ff_frac: 0.3838
Step   524288 | Return:       1.52 | Win Rate:  0.59 | Loss:     0.0284 | Ent:   0.2264 | GradN(actor/critic):   0.1132/  0.2410 | pair_cos(all/ff/nff):  0.5547/ 0.5745/ 0.5427 | ff_frac: 0.3759
Step   540672 | Return:       1.51 | Win Rate:  0.58 | Loss:     0.0278 | Ent:   0.2099 | GradN(actor/critic):   0.1026/  0.2713 | pair_cos(all/ff/nff):  0.5549/ 0.5741/ 0.5433 | ff_frac: 0.3753
Step   557056 | Return:       1.57 | Win Rate:  0.63 | Loss:     0.0280 | Ent:   0.1925 | GradN(actor/critic):   0.1075/  0.2888 | pair_cos(all/ff/nff):  0.5545/ 0.5706/ 0.5442 | ff_frac: 0.3888
Step   573440 | Return:       1.57 | Win Rate:  0.63 | Loss:     0.0273 | Ent:   0.1931 | GradN(actor/critic):   0.1063/  0.2527 | pair_cos(all/ff/nff):  0.5586/ 0.5757/ 0.5476 | ff_frac: 0.3918
Step   589824 | Return:       1.58 | Win Rate:  0.63 | Loss:     0.0290 | Ent:   0.1962 | GradN(actor/critic):   0.1144/  0.5231 | pair_cos(all/ff/nff):  0.5530/ 0.5699/ 0.5419 | ff_frac: 0.3964
Step   606208 | Return:       1.58 | Win Rate:  0.64 | Loss:     0.0279 | Ent:   0.1878 | GradN(actor/critic):   0.1094/  0.3387 | pair_cos(all/ff/nff):  0.5518/ 0.5694/ 0.5405 | ff_frac: 0.3918
