#Using Entropy coeff = 0.0
!python jaxMARLV2/smax_ctm/scripts/run_saal_stage5.py --mode sanity


2026-04-11 21:55:12.755135: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:467] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1775944512.775004   11517 cuda_dnn.cc:8579] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1775944512.781508   11517 cuda_blas.cc:1407] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
W0000 00:00:1775944512.797070   11517 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775944512.797124   11517 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775944512.797129   11517 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775944512.797133   11517 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
[stage5] launching SAAL_a05_b025__seed200
Step   278528 | Return:       1.26 | Win Rate:  0.39 | Loss:     0.0024 | Ent:   0.4985 | GradN(actor/critic):   0.1341/  0.3959 | pair_cos(all/ff/nff):  0.7417/ 0.9702/ 0.6515 | ff_frac: 0.2829 | align(L/pos/neg): -0.03222/-0.04851/ 0.01629
Step   294912 | Return:       1.29 | Win Rate:  0.41 | Loss:     0.0028 | Ent:   0.4616 | GradN(actor/critic):   0.2705/  0.1582 | pair_cos(all/ff/nff):  0.7440/ 0.9686/ 0.6435 | ff_frac: 0.3090 | align(L/pos/neg): -0.03234/-0.04843/ 0.01609
Step   311296 | Return:       1.31 | Win Rate:  0.42 | Loss:     0.0034 | Ent:   0.4360 | GradN(actor/critic):   0.2549/  0.1863 | pair_cos(all/ff/nff):  0.7468/ 0.9712/ 0.6447 | ff_frac: 0.3127 | align(L/pos/neg): -0.03244/-0.04856/ 0.01612
Step   327680 | Return:       1.36 | Win Rate:  0.47 | Loss:     0.0036 | Ent:   0.4341 | GradN(actor/critic):   0.3375/  0.2283 | pair_cos(all/ff/nff):  0.7485/ 0.9742/ 0.6435 | ff_frac: 0.3176 | align(L/pos/neg): -0.03262/-0.04871/ 0.01609
Step   344064 | Return:       1.35 | Win Rate:  0.46 | Loss:     0.0019 | Ent:   0.4144 | GradN(actor/critic):   0.2518/  0.3022 | pair_cos(all/ff/nff):  0.7423/ 0.9738/ 0.6294 | ff_frac: 0.3276 | align(L/pos/neg): -0.03296/-0.04869/ 0.01573
Step   360448 | Return:       1.39 | Win Rate:  0.49 | Loss:     0.0008 | Ent:   0.4296 | GradN(actor/critic):   0.2316/  0.1602 | pair_cos(all/ff/nff):  0.7404/ 0.9745/ 0.6312 | ff_frac: 0.3181 | align(L/pos/neg): -0.03294/-0.04872/ 0.01578
Step   376832 | Return:       1.37 | Win Rate:  0.47 | Loss:    -0.0004 | Ent:   0.4133 | GradN(actor/critic):   0.2637/  0.2350 | pair_cos(all/ff/nff):  0.7286/ 0.9733/ 0.6110 | ff_frac: 0.3245 | align(L/pos/neg): -0.03339/-0.04866/ 0.01528
Step   393216 | Return:       1.42 | Win Rate:  0.51 | Loss:    -0.0006 | Ent:   0.3803 | GradN(actor/critic):   0.1613/  0.3553 | pair_cos(all/ff/nff):  0.7257/ 0.9711/ 0.6025 | ff_frac: 0.3342 | align(L/pos/neg): -0.03349/-0.04855/ 0.01506
Step   409600 | Return:       1.44 | Win Rate:  0.53 | Loss:    -0.0022 | Ent:   0.3518 | GradN(actor/critic):   0.1439/  0.2875 | pair_cos(all/ff/nff):  0.7146/ 0.9704/ 0.5782 | ff_frac: 0.3478 | align(L/pos/neg): -0.03406/-0.04852/ 0.01446
Step   425984 | Return:       1.45 | Win Rate:  0.53 | Loss:    -0.0019 | Ent:   0.3282 | GradN(actor/critic):   0.2533/  0.1913 | pair_cos(all/ff/nff):  0.7049/ 0.9668/ 0.5584 | ff_frac: 0.3588 | align(L/pos/neg): -0.03438/-0.04834/ 0.01396
