2026-04-09 17:02:48.405315: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:467] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1775754168.426104    9830 cuda_dnn.cc:8579] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1775754168.433242    9830 cuda_blas.cc:1407] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
W0000 00:00:1775754168.450292    9830 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775754168.450337    9830 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775754168.450342    9830 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775754168.450346    9830 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
Starting 3m MAPPO Baseline...
Step        0 | Return:       0.17 | Win Rate:  0.00
Step  1605632 | Return:       1.80 | Win Rate:  0.83
Step  1622016 | Return:       1.82 | Win Rate:  0.84
Step  1638400 | Return:       1.78 | Win Rate:  0.81
Step  1654784 | Return:       1.81 | Win Rate:  0.83
Step  1671168 | Return:       1.81 | Win Rate:  0.83
Step  1687552 | Return:       1.78 | Win Rate:  0.81
Step  1703936 | Return:       1.81 | Win Rate:  0.84
Step  1720320 | Return:       1.80 | Win Rate:  0.82
Step  1736704 | Return:       1.83 | Win Rate:  0.85
Step  1753088 | Return:       1.81 | Win Rate:  0.83
Step  1769472 | Return:       1.80 | Win Rate:  0.82
Step  1785856 | Return:       1.80 | Win Rate:  0.82
Step  1802240 | Return:       1.81 | Win Rate:  0.83
Step  1818624 | Return:       1.80 | Win Rate:  0.82
Step  1835008 | Return:       1.80 | Win Rate:  0.82
Step  1851392 | Return:       1.81 | Win Rate:  0.83
Step  1867776 | Return:       1.82 | Win Rate:  0.84
Step  1884160 | Return:       1.83 | Win Rate:  0.85
Step  1900544 | Return:       1.79 | Win Rate:  0.82
Step  1916928 | Return:       1.81 | Win Rate:  0.83
Step  1933312 | Return:       1.82 | Win Rate:  0.84
Step  1949696 | Return:       1.81 | Win Rate:  0.83
Step  1966080 | Return:       1.81 | Win Rate:  0.83
Step  1982464 | Return:       1.82 | Win Rate:  0.84
Step  1998848 | Return:       1.80 | Win Rate:  0.82
Step  2015232 | Return:       1.81 | Win Rate:  0.83
Step  2031616 | Return:       1.81 | Win Rate:  0.83
Step  2048000 | Return:       1.82 | Win Rate:  0.84
Step  2064384 | Return:       1.82 | Win Rate:  0.84
Step  2080768 | Return:       1.82 | Win Rate:  0.84
Step  2097152 | Return:       1.84 | Win Rate:  0.86
Step  2113536 | Return:       1.82 | Win Rate:  0.84
Step  2129920 | Return:       1.80 | Win Rate:  0.83
Step  2146304 | Return:       1.83 | Win Rate:  0.85
Step  2162688 | Return:       1.82 | Win Rate:  0.84
Step  2179072 | Return:       1.81 | Win Rate:  0.83
Step  2195456 | Return:       1.82 | Win Rate:  0.84
Step  2211840 | Return:       1.82 | Win Rate:  0.84
Step  2228224 | Return:       1.84 | Win Rate:  0.86
Step  2244608 | Return:       1.85 | Win Rate:  0.87
Step  2260992 | Return:       1.82 | Win Rate:  0.84
Step  2277376 | Return:       1.84 | Win Rate:  0.86
Step  2293760 | Return:       1.85 | Win Rate:  0.87
Step  2310144 | Return:       1.84 | Win Rate:  0.85
Step  2326528 | Return:       1.83 | Win Rate:  0.85
Step  2342912 | Return:       1.84 | Win Rate:  0.86
Step  2359296 | Return:       1.82 | Win Rate:  0.84
Step  2375680 | Return:       1.82 | Win Rate:  0.84
Step  2392064 | Return:       1.82 | Win Rate:  0.84
Step  2408448 | Return:       1.85 | Win Rate:  0.87
Step  2424832 | Return:       1.84 | Win Rate:  0.86
Step  2441216 | Return:       1.83 | Win Rate:  0.85
Step  2457600 | Return:       1.84 | Win Rate:  0.85
Step  2473984 | Return:       1.85 | Win Rate:  0.87
Step  2490368 | Return:       1.82 | Win Rate:  0.84
Step  2506752 | Return:       1.85 | Win Rate:  0.87
Step  2523136 | Return:       1.83 | Win Rate:  0.85
Step  2539520 | Return:       1.83 | Win Rate:  0.85
Step  2555904 | Return:       1.84 | Win Rate:  0.86
Step  2572288 | Return:       1.84 | Win Rate:  0.85
Step  2588672 | Return:       1.85 | Win Rate:  0.87
Step  2605056 | Return:       1.81 | Win Rate:  0.83
Step  2621440 | Return:       1.84 | Win Rate:  0.86
Step  2637824 | Return:       1.84 | Win Rate:  0.85
Step  2654208 | Return:       1.83 | Win Rate:  0.85
